MUNICIPIO,Y,X,W1,W2,N
Chapecó,0.494,0.1031746032,0.095890411,0.1132075472,126
Nova Friburgo,0.479,0.104,0.0862068966,0.1194029851,125
Praia Grande,0.481,0.1209677419,0.0963855422,0.1707317073,124
São Carlos,0.491,0.0887096774,0.0952380952,0.0819672131,124
Caruaru,0.474,0.1056910569,0.0952380952,0.1282051282,123
Ouro Branco,0.498,0.106557377,0.08,0.125,122
Feira de Santana,0.474,0.0573770492,0.0379746835,0.0930232558,122
Araruama,0.485,0.1008403361,0.0892857143,0.1111111111,119
Gramado,0.486,0.1101694915,0.16,0.023255814,118
Viamão,0.487,0.1367521368,0.1044776119,0.18,117
Governador Valadares,0.475,0.1111111111,0.0882352941,0.1428571429,117
Itajaí,0.491,0.0775862069,0.038961039,0.1538461538,116
Lages,0.485,0.1403508772,0.1060606061,0.1875,114
Presidente Prudente,0.481,0.1052631579,0.0571428571,0.1818181818,114
Vitória da Conquista,0.482,0.0353982301,0.0285714286,0.0465116279,113
Marília,0.483,0.0707964602,0.0675675676,0.0769230769,113
São Vicente,0.48,0.0803571429,0.0779220779,0.0857142857,112
Cachoeirinha,0.483,0.1009174312,0.0357142857,0.1698113208,109
Viana,0.511,0.1388888889,0.0983606557,0.1914893617,108
Uberaba,0.488,0.0849056604,0.078125,0.0952380952,106
Araçatuba,0.481,0.0566037736,0.04,0.0714285714,106
Santarém,0.494,0.1067961165,0.0689655172,0.1555555556,103
Limeira,0.491,0.1089108911,0.1111111111,0.1063829787,101
Jaraguá do Sul,0.502,0.1386138614,0.1166666667,0.1707317073,101
Indaiatuba,0.497,0.09,0.109375,0.0555555556,100
Jaboatão dos Guararapes,0.473,0.11,0.1228070175,0.0930232558,100
São José dos Pinhais,0.494,0.11,0.1186440678,0.0975609756,100
Paranaguá,0.493,0.1134020619,0.125,0.0975609756,97
Alvorada,0.486,0.1340206186,0.1153846154,0.1555555556,97
Mauá,0.489,0.0927835052,0.0666666667,0.1351351351,97
Bragança Paulista,0.491,0.1855670103,0.1346153846,0.2444444444,97
Dourados,0.491,0.0833333333,0.0666666667,0.1111111111,96
Palhoça,0.498,0.0729166667,0.0344827586,0.1315789474,96
Nilópolis,0.468,0.1052631579,0.0925925926,0.1219512195,95
Nova Lima,0.483,0.1263157895,0.0819672131,0.2058823529,95
Ananindeua,0.48,0.0777777778,0.0943396226,0.0540540541,90
Atibaia,0.491,0.0786516854,0.0806451613,0.0740740741,89
Jacareí,0.488,0.1149425287,0.0222222222,0.2142857143,87
Guarapuava,0.489,0.1494252874,0.0888888889,0.2142857143,87
São João de Meriti,0.476,0.1927710843,0.2372881356,0.0833333333,83
Aparecida de Goiânia,0.493,0.0843373494,0.0740740741,0.1034482759,83
Araraquara,0.482,0.0361445783,0.0192307692,0.064516129,83
Belford Roxo,0.483,0.1111111111,0.0681818182,0.1621621622,81
Brusque,0.497,0.15,0.0909090909,0.28,80
Maricá,0.492,0.0875,0.0714285714,0.1052631579,80
Sete Lagoas,0.486,0.05,0.0357142857,0.0833333333,80
Teresópolis,0.478,0.125,0.0952380952,0.1578947368,80
Rio Claro,0.487,0.0625,0.0465116279,0.0810810811,80
Uruguaiana,0.486,0.1518987342,0.1,0.2051282051,79
Marabá,0.506,0.0759493671,0.0816326531,0.0666666667,79
Torres,0.486,0.1038961039,0.1276595745,0.0666666667,77
Barra Mansa,0.483,0.038961039,0.0217391304,0.064516129,77
Parnamirim,0.479,0.1052631579,0.0701754386,0.2105263158,76
Franca,0.488,0.0657894737,0.0714285714,0.0588235294,76
Três Corações,0.496,0.08,0.1142857143,0.05,75
São José,0.483,0.1621621622,0.1794871795,0.1428571429,74
Valinhos,0.493,0.0945945946,0.125,0.0588235294,74
Taboão da Serra,0.478,0.0675675676,0.0222222222,0.1379310345,74
Itu,0.495,0.1095890411,0.075,0.1515151515,73
Ubatuba,0.497,0.1095890411,0.1081081081,0.1111111111,73
Guarapari,0.489,0.125,0.1363636364,0.1071428571,72
Campos dos Goytacazes,0.481,0.1408450704,0.0285714286,0.25,71
Tubarão,0.485,0.1408450704,0.1578947368,0.1212121212,71
Petrolina,0.487,0.1126760563,0.0816326531,0.1818181818,71
Bagé,0.478,0.115942029,0.0731707317,0.1785714286,69
Itaguaí,0.499,0.1449275362,0.2222222222,0,69
Parnaíba,0.479,0.0579710145,0.0769230769,0,69
Santa Cruz do Sul,0.481,0.0149253731,0,0.0476190476,67
Varginha,0.487,0.09375,0.0882352941,0.1,64
Poços de Caldas,0.483,0.0634920635,0.0434782609,0.1176470588,63
Suzano,0.49,0.0158730159,0.025,0,63
Bento Gonçalves,0.491,0.1129032258,0.0588235294,0.1785714286,62
Barra do Piraí,0.476,0.0483870968,0.0285714286,0.0740740741,62
Itaboraí,0.487,0.0983606557,0.075,0.1428571429,61
Carapicuíba,0.485,0.0819672131,0.0512820513,0.1363636364,61
Viçosa,0.485,0.0983606557,0.0769230769,0.1142857143,61
Juazeiro do Norte,0.474,0.131147541,0.1590909091,0.0588235294,61
Patos de Minas,0.49,0.1694915254,0.1470588235,0.2,59
Ouro Preto,0.488,0.1052631579,0.1666666667,0,57
Caraguatatuba,0.495,0.1052631579,0.1333333333,0.0740740741,57
Magé,0.486,0.1228070175,0.1481481481,0.1,57
Resende,0.487,0.0178571429,0.0285714286,0,56
Araras,0.494,0.1090909091,0.0322580645,0.2083333333,55
Arraial do Cabo,0.492,0.0727272727,0.04,0.1,55
Goiás,0.496,0.0727272727,0.0588235294,0.0952380952,55
Erechim,0.481,0.1481481481,0.1290322581,0.1739130435,54
Capão da Canoa,0.49,0.1296296296,0.1923076923,0.0714285714,54
Toledo,0.489,0.0740740741,0.0625,0.0909090909,54
Imperatriz,0.482,0.0754716981,0.03125,0.1428571429,53
Conselheiro Lafaiete,0.484,0.0566037736,0.0555555556,0.0588235294,53
Lavras,0.485,0.0961538462,0.0967741935,0.0952380952,52
Itapetininga,0.5,0.1176470588,0.1142857143,0.125,51
Santa Quitéria,0.501,0.1568627451,0.1666666667,0.1481481481,51
Araranguá,0.492,0.0980392157,0.125,0.0740740741,51
Garanhuns,0.471,0.0784313725,0.0606060606,0.1111111111,51
Ijuí,0.483,0.18,0.1428571429,0.2272727273,50
Esteio,0.483,0.12,0.1,0.15,50
São Mateus,0.495,0.1224489796,0.1111111111,0.1363636364,49
Guaíba,0.485,0.1224489796,0.1034482759,0.15,49
São Pedro da Aldeia,0.494,0.1875,0.16,0.2173913043,48
São Borja,0.491,0.125,0.0689655172,0.2105263158,48
