MUNICIPIO,Y,X,W1,W2,N
Chapecó,0.494,0.0576923077,0.0681818182,0.0441176471,156
Feira de Santana,0.474,0.0522875817,0.0235294118,0.0882352941,153
Viamão,0.487,0.0789473684,0.0543478261,0.1166666667,152
Nova Friburgo,0.479,0.0855263158,0.0588235294,0.1071428571,152
Cachoeirinha,0.483,0.0939597315,0.064516129,0.1428571429,149
Gramado,0.486,0.0536912752,0.0659340659,0.0344827586,149
Governador Valadares,0.475,0.0878378378,0.0697674419,0.1129032258,148
Marília,0.483,0.0342465753,0.0202020202,0.0638297872,146
Caruaru,0.474,0.0482758621,0.0625,0.0204081633,145
Cariacica,0.487,0.1118881119,0.1518987342,0.0625,143
Presidente Prudente,0.481,0.0839160839,0.0568181818,0.1272727273,143
Araruama,0.485,0.1197183099,0.0945945946,0.1470588235,142
São Carlos,0.491,0.0638297872,0.0263157895,0.1076923077,141
Viana,0.511,0.1142857143,0.0821917808,0.1492537313,140
Jaboatão dos Guararapes,0.473,0.071942446,0.0987654321,0.0344827586,139
Mesquita,0.474,0.1654676259,0.1686746988,0.1607142857,139
Itajaí,0.491,0.0729927007,0.0549450549,0.1086956522,137
Vitória da Conquista,0.482,0.0687022901,0.04,0.1071428571,131
Uberaba,0.488,0.0458015267,0.037037037,0.06,131
Lages,0.485,0.0873015873,0.0547945205,0.1320754717,126
São José dos Pinhais,0.494,0.0317460317,0.0142857143,0.0535714286,126
Limeira,0.491,0.072,0.0769230769,0.0666666667,125
São Vicente,0.48,0.064516129,0.0357142857,0.125,124
Santarém,0.494,0.0327868852,0.012987013,0.0666666667,122
Atibaia,0.491,0.0743801653,0.0476190476,0.1351351351,121
Palhoça,0.498,0.0743801653,0.0434782609,0.1153846154,121
Araçatuba,0.481,0.0423728814,0.0476190476,0.0363636364,118
Paranaguá,0.493,0.0683760684,0.0606060606,0.0784313725,117
Ananindeua,0.48,0.0598290598,0.0684931507,0.0454545455,117
Indaiatuba,0.497,0.0608695652,0.0704225352,0.0454545455,115
Jaraguá do Sul,0.502,0.0789473684,0.0447761194,0.1276595745,114
Dourados,0.491,0.0353982301,0.0298507463,0.0434782609,113
Nova Lima,0.483,0.0714285714,0.0533333333,0.1081081081,112
Aparecida de Goiânia,0.493,0.0917431193,0.0724637681,0.125,109
Araraquara,0.482,0.0277777778,0,0.0789473684,108
Alvorada,0.486,0.1121495327,0.1481481481,0.0754716981,107
Mauá,0.489,0.0654205607,0.0615384615,0.0714285714,107
Jacareí,0.488,0.09,0.0357142857,0.1590909091,100
São João de Meriti,0.476,0.15,0.1428571429,0.1666666667,100
Barra Mansa,0.483,0.0707070707,0.0545454545,0.0909090909,99
Nilópolis,0.468,0.0816326531,0.0833333333,0.0789473684,98
