MUNICIPIO,Y,X,W1,W2,N
Taboão da Serra,0.691,0.0757575758,0.0454545455,0.1136363636,132
Parnamirim,0.706,0.1230769231,0.1125,0.12,130
Santa Cruz do Sul,0.596,0.0390625,0.03125,0.03125,128
Itaguaí,0.67,0.1015625,0.0673076923,0.25,128
Ubatuba,0.668,0.126984127,0.1263157895,0.0967741935,126
Rio Claro,0.613,0.0873015873,0.09375,0.0333333333,126
Três Corações,0.652,0.0555555556,0.0618556701,0,126
Maricá,0.599,0.088,0.0777777778,0.0857142857,125
Tubarão,0.601,0.12,0.1363636364,0.0540540541,125
São José,0.651,0.1129032258,0.1111111111,0.0930232558,124
Viçosa,0.638,0.1166666667,0.1157894737,0.12,120
Poços de Caldas,0.609,0.0756302521,0.0705882353,0.0588235294,119
Suzano,0.679,0.0423728814,0.0352941176,0.0303030303,118
Itaboraí,0.65,0.1440677966,0.1145833333,0.2272727273,118
Bagé,0.6,0.0512820513,0.0444444444,0.0740740741,117
Campos dos Goytacazes,0.639,0.0854700855,0.0804597701,0.0666666667,117
Magé,0.655,0.1111111111,0.1136363636,0.1034482759,117
Petrolina,0.747,0.0689655172,0.0555555556,0.0681818182,116
Erechim,0.617,0.1379310345,0.1075268817,0.2173913043,116
Torres,0.589,0.1052631579,0.1011235955,0.08,114
Goiás,0.601,0.0535714286,0.0595238095,0,112
Juazeiro do Norte,0.711,0.0747663551,0.0138888889,0.1714285714,107
Caraguatatuba,0.654,0.0841121495,0.0555555556,0.1142857143,107
Guaíba,0.628,0.0471698113,0.0444444444,0,106
Varginha,0.635,0.0666666667,0.0547945205,0.0625,105
Patos de Minas,0.618,0.0857142857,0.0813953488,0.0526315789,105
Cotia,0.683,0.0582524272,0.0465116279,0.1176470588,103
Resende,0.639,0.0490196078,0.0405405405,0.0357142857,102
Carapicuíba,0.692,0.068627451,0.04,0.1481481481,102
Itabuna,0.663,0.1078431373,0.0952380952,0.1025641026,102
Esteio,0.613,0.1089108911,0.1265822785,0,101
Imperatriz,0.728,0.07,0.0933333333,0,100
São Borja,0.605,0.1530612245,0.1818181818,0,98
Barra do Piraí,0.596,0.0714285714,0.0740740741,0,98
Rondonópolis,0.695,0.0618556701,0.0649350649,0.05,97
Itapetininga,0.657,0.1443298969,0.1388888889,0.12,97
Capão da Canoa,0.647,0.1368421053,0.1230769231,0.1333333333,95
Coronel Fabriciano,0.645,0.0860215054,0.0972222222,0.0476190476,93
Ouro Preto,0.645,0.0967741935,0.0869565217,0.0833333333,93
Santa Quitéria,0.673,0.1739130435,0.1833333333,0.125,92
Porto,0.755,0.1086956522,0.0952380952,0.1034482759,92
Lavras,0.619,0.0769230769,0.0869565217,0,91
Arraial do Cabo,0.605,0.1,0.1060606061,0.0416666667,90
Lajeado,0.624,0.1348314607,0.1126760563,0.1666666667,89
Garanhuns,0.693,0.0898876404,0.1186440678,0,89
Toledo,0.65,0.0568181818,0.0434782609,0.1052631579,88
Ilhéus,0.674,0.0681818182,0.0833333333,0.0357142857,88
Araras,0.618,0.1136363636,0.115942029,0.0526315789,88
Santa Terezinha de Itaipu,0.659,0.1149425287,0.125,0.0869565217,87
Pato Branco,0.651,0.0804597701,0.0684931507,0.0714285714,87
Itapema,0.649,0.0930232558,0.0821917808,0.0769230769,86
Timóteo,0.632,0.2117647059,0.2258064516,0.1304347826,85
Linhares,0.7,0.0588235294,0.0526315789,0.0357142857,85
Cubatão,0.684,0.0714285714,0.0357142857,0.1071428571,84
Assis,0.598,0.1071428571,0.0967741935,0.1363636364,84
São Mateus,0.693,0.1325301205,0.1515151515,0,83
Lauro de Freitas,0.709,0.1445783133,0.1698113208,0.0666666667,83
Conselheiro Lafaiete,0.626,0.0853658537,0.1071428571,0,82
Araranguá,0.644,0.1097560976,0.1,0.0909090909,82
Salto,0.641,0.0487804878,0.0491803279,0,82
Carazinho,0.599,0.1111111111,0.0746268657,0.2142857143,81
Armação dos Búzios,0.665,0.1234567901,0.1071428571,0.12,81
São Pedro da Aldeia,0.648,0.1234567901,0.0983606557,0.15,81
São José do Cerrito,0.579,0.0987654321,0.0923076923,0.0625,81
Itaubal,0.803,0.1125,0.125,0.0625,80
Osório,0.609,0.1265822785,0.1129032258,0.1176470588,79
Araxá,0.626,0.0632911392,0.0317460317,0.125,79
Paulista,0.655,0.1153846154,0.1346153846,0.0769230769,78
Ijuí,0.591,0.1282051282,0.0909090909,0.1739130435,78
Santana de Parnaíba,0.68,0.1688311688,0.14,0.1851851852,77
Camaçari,0.742,0.1428571429,0.0816326531,0.2142857143,77
Ilhota,0.663,0.1842105263,0.1607142857,0.2,76
Santa Luzia,0.692,0.1052631579,0.1153846154,0.0416666667,76
Itabira,0.645,0.1184210526,0.0952380952,0.1538461538,76
Embu,0.714,0.12,0.1228070175,0.0555555556,75
Itajubá,0.619,0.1066666667,0.1132075472,0.0454545455,75
Teófilo Otoni,0.648,0.1216216216,0.1206896552,0.0625,74
Pouso Alegre,0.638,0.1351351351,0.1132075472,0.1428571429,74
Itaperuna,0.602,0.0945945946,0.1016949153,0,74
Navegantes,0.681,0.1369863014,0.1320754717,0.1,73
Barretos,0.609,0.1232876712,0.1020408163,0.125,73
Paulínia,0.671,0.1388888889,0.1551724138,0,72
Santa Rosa,0.611,0.1111111111,0.0892857143,0.125,72
Cachoeiro de Itapemirim,0.641,0.0694444444,0.0677966102,0,72
Maracanaú,0.719,0.1126760563,0.1224489796,0.0454545455,71
Caçapava,0.64,0.1267605634,0.1551724138,0,71
Santa Bárbara d'Oeste,0.624,0.1267605634,0.1090909091,0.125,71
Rio do Sul,0.642,0.1126760563,0.0967741935,0.1111111111,71
Sumaré,0.684,0.1,0.1176470588,0,70
Francisco Beltrão,0.648,0.1285714286,0.1355932203,0,70
Penha,0.629,0.1571428571,0.1176470588,0.2105263158,70
Içara,0.647,0.1571428571,0.1086956522,0.2083333333,70
Barbacena,0.605,0.1,0.0714285714,0.1428571429,70
Sobral,0.727,0.0434782609,0.0392156863,0,69
Sapucaia do Sul,0.644,0.115942029,0.0816326531,0.15,69
Botucatu,0.62,0.0735294118,0.0740740741,0,68
Itaquaquecetuba,0.723,0.1176470588,0.1136363636,0.0833333333,68
Umuarama,0.623,0.0735294118,0.0491803279,0.1428571429,68
Poá,0.673,0.0882352941,0.0576923077,0.125,68
Jaú,0.616,0.0588235294,0.0652173913,0,68
Camaquã,0.604,0.1194029851,0.1186440678,0.125,67
Birigui,0.611,0.1641791045,0.1851851852,0,67
Saquarema,0.617,0.0895522388,0.0784313725,0.0625,67
Valença,0.588,0.1641791045,0.1153846154,0.2666666667,67
Santa Cruz,0.697,0.1044776119,0.125,0.0526315789,67
Três Rios,0.611,0.1212121212,0.1153846154,0.0714285714,66
Abreu e Lima,0.67,0.0606060606,0,0.1304347826,66
Imbituba,0.598,0.0757575758,0.0377358491,0.1538461538,66
Colatina,0.626,0.0909090909,0.1086956522,0.05,66
Congonhas,0.653,0.0909090909,0.0789473684,0.0714285714,66
Hortolândia,0.692,0.0757575758,0.08,0,66
Ourinhos,0.613,0.1076923077,0.1136363636,0.0476190476,65
Parauapebas,0.817,0.0461538462,0.0217391304,0.0526315789,65
Três Lagoas,0.671,0.109375,0.1041666667,0.0625,64
Colombo,0.706,0.109375,0.1020408163,0.0666666667,64
Alegrete,0.583,0.09375,0.0925925926,0,64
Cabo de Santo Agostinho,0.71,0.046875,0.0454545455,0,64
