MUNICIPIO,Y,X,W1,W2,N
Chapecó,0.685,0.0955414013,0.1140350877,0.0465116279,157
Ouro Branco,0.668,0.1161290323,0.0869565217,0.1428571429,155
Feira de Santana,0.703,0.0666666667,0.0886075949,0.0281690141,150
Governador Valadares,0.648,0.1140939597,0.09,0.1428571429,149
Caruaru,0.694,0.1081081081,0.1208791209,0.0701754386,148
Nova Friburgo,0.585,0.1088435374,0.1145833333,0.0784313725,147
São Carlos,0.615,0.0816326531,0.1075268817,0.037037037,147
Itajaí,0.67,0.0890410959,0.0777777778,0.0892857143,146
Mesquita,0.628,0.2068965517,0.2023809524,0.1967213115,145
Araruama,0.614,0.1034482759,0.1063829787,0.0784313725,145
Gramado,0.615,0.1063829787,0.1262135922,0.0263157895,141
Lages,0.642,0.1366906475,0.1529411765,0.0925925926,139
Vitória da Conquista,0.691,0.0724637681,0.0810810811,0.046875,138
Presidente Prudente,0.602,0.1176470588,0.0921052632,0.15,136
Marília,0.607,0.0671641791,0.0722891566,0.0392156863,134
São Vicente,0.645,0.0902255639,0.0897435897,0.0909090909,133
Cachoeirinha,0.632,0.0909090909,0.1034482759,0.0444444444,132
Viamão,0.642,0.1317829457,0.1460674157,0.1,129
Viana,0.701,0.1417322835,0.125,0.1454545455,127
Araçatuba,0.584,0.0634920635,0.0588235294,0.0487804878,126
Limeira,0.624,0.112,0.1136363636,0.1081081081,125
Santarém,0.752,0.104,0.1204819277,0.0476190476,125
Bragança Paulista,0.626,0.184,0.2083333333,0.1320754717,125
Uberaba,0.618,0.0819672131,0.1038961039,0.0222222222,122
São José dos Pinhais,0.7,0.1229508197,0.0789473684,0.1739130435,122
Jaraguá do Sul,0.682,0.1393442623,0.1578947368,0.0869565217,122
Paranaguá,0.682,0.132231405,0.1527777778,0.0816326531,121
Dourados,0.682,0.0916666667,0.0746268657,0.0943396226,120
Indaiatuba,0.649,0.1008403361,0.0875,0.1025641026,119
Jaboatão dos Guararapes,0.677,0.1260504202,0.0793650794,0.1607142857,119
Alvorada,0.676,0.1379310345,0.1739130435,0.0638297872,116
Mauá,0.679,0.1034482759,0.1126760563,0.0666666667,116
Ananindeua,0.73,0.1061946903,0.0983606557,0.0961538462,113
Palhoça,0.685,0.1071428571,0.1095890411,0.0769230769,112
Aparecida de Goiânia,0.735,0.0925925926,0.126984127,0.0222222222,108
Nilópolis,0.602,0.1320754717,0.1296296296,0.1153846154,106
Atibaia,0.627,0.0754716981,0.0666666667,0.064516129,106
Jacareí,0.636,0.1238095238,0.1212121212,0.1025641026,105
Nova Lima,0.637,0.1428571429,0.1746031746,0.0714285714,105
Guarapuava,0.671,0.180952381,0.1265822785,0.3461538462,105
Brusque,0.657,0.1442307692,0.1095890411,0.1935483871,104
Valinhos,0.604,0.1,0.0985915493,0.0689655172,100
São João de Meriti,0.633,0.202020202,0.1692307692,0.2352941176,99
Marabá,0.78,0.0714285714,0.03125,0.1176470588,98
Araraquara,0.598,0.0618556701,0.0566037736,0.0454545455,97
Sete Lagoas,0.651,0.0625,0.0655737705,0.0285714286,96
Uruguaiana,0.651,0.1578947368,0.1612903226,0.1212121212,95
Ubatuba,0.668,0.1290322581,0.140625,0.1034482759,93
Petrolina,0.747,0.1304347826,0.1276595745,0.1111111111,92
Maricá,0.599,0.1304347826,0.1379310345,0.0882352941,92
Franca,0.637,0.0760869565,0.0689655172,0.0588235294,92
Taboão da Serra,0.691,0.0760869565,0.0434782609,0.0869565217,92
Teresópolis,0.616,0.152173913,0.1489361702,0.1555555556,92
São José,0.651,0.1538461538,0.16,0.1219512195,91
Rio Claro,0.613,0.0879120879,0.1016949153,0.03125,91
Parnamirim,0.706,0.1111111111,0.0930232558,0.1063829787,90
Guarapari,0.654,0.1666666667,0.2333333333,0,90
Itu,0.65,0.1348314607,0.1594202899,0,89
Três Corações,0.652,0.0786516854,0.0983606557,0.0357142857,89
Parnaíba,0.692,0.0674157303,0.0517241379,0.064516129,89
Tubarão,0.601,0.1136363636,0.1320754717,0.0857142857,88
Barra Mansa,0.61,0.0454545455,0.0655737705,0,88
Belford Roxo,0.667,0.1264367816,0.12,0.1081081081,87
Santa Cruz do Sul,0.596,0.0352941176,0,0.0571428571,85
Bagé,0.6,0.1071428571,0.1090909091,0.0689655172,84
Torres,0.589,0.0952380952,0.1166666667,0.0416666667,84
Poços de Caldas,0.609,0.0952380952,0.1041666667,0.0555555556,84
Campos dos Goytacazes,0.639,0.1325301205,0.1764705882,0.03125,83
Bento Gonçalves,0.601,0.1111111111,0.0980392157,0.1,81
Suzano,0.679,0.049382716,0.0638297872,0,81
Itaguaí,0.67,0.1375,0.0714285714,0.25,80
Varginha,0.635,0.1025641026,0.085106383,0.0967741935,78
Carapicuíba,0.692,0.1052631579,0.0980392157,0.12,76
Itaboraí,0.65,0.1333333333,0.0909090909,0.2,75
Viçosa,0.638,0.1333333333,0.1454545455,0.05,75
Magé,0.655,0.1486486486,0.1914893617,0.0740740741,74
Juazeiro do Norte,0.711,0.1351351351,0.0810810811,0.1621621622,74
Caraguatatuba,0.654,0.1095890411,0.075,0.1212121212,73
Goiás,0.601,0.0694444444,0.0909090909,0,72
Erechim,0.617,0.1714285714,0.16,0.15,70
Patos de Minas,0.618,0.1594202899,0.16,0.1578947368,69
Garanhuns,0.693,0.0724637681,0.1315789474,0,69
Itabuna,0.663,0.1176470588,0.1034482759,0.1025641026,68
Barra do Piraí,0.596,0.0588235294,0.0454545455,0.0416666667,68
Resende,0.639,0.0588235294,0.0476190476,0.0384615385,68
Imperatriz,0.728,0.0746268657,0.0789473684,0.0344827586,67
Capão da Canoa,0.647,0.1791044776,0.1707317073,0.1538461538,67
Santa Quitéria,0.673,0.1846153846,0.1875,0.1515151515,65
Araras,0.618,0.125,0.1333333333,0.0526315789,64
São Borja,0.605,0.171875,0.1463414634,0.1739130435,64
Ouro Preto,0.645,0.1111111111,0.0810810811,0.1153846154,63
Guaíba,0.628,0.1428571429,0.170212766,0.0625,63
Arraial do Cabo,0.605,0.0952380952,0.0789473684,0.08,63
Itapetininga,0.657,0.1612903226,0.1428571429,0.1481481481,62
Toledo,0.65,0.0806451613,0.0487804878,0.0952380952,62
Lavras,0.619,0.1147540984,0.1621621622,0,61
Conselheiro Lafaiete,0.626,0.0655737705,0.0833333333,0,61
São Mateus,0.693,0.1147540984,0.1333333333,0,61
Cubatão,0.684,0.1166666667,0.0882352941,0.1153846154,60
Linhares,0.7,0.1,0.1290322581,0.0344827586,60
Paulista,0.655,0.1333333333,0.0909090909,0.1481481481,60
Pato Branco,0.651,0.1166666667,0.1304347826,0.0714285714,60
Coronel Fabriciano,0.645,0.1,0.0857142857,0.12,60
Navegantes,0.681,0.186440678,0.1842105263,0.1428571429,59
Esteio,0.613,0.1525423729,0.1794871795,0.05,59
Rondonópolis,0.695,0.0677966102,0.0512820513,0.05,59
Itaubal,0.803,0.0689655172,0.0689655172,0.0344827586,58
Porto,0.755,0.1724137931,0.1666666667,0.1428571429,58
Santana de Parnaíba,0.68,0.1551724138,0.1111111111,0.1818181818,58
Armação dos Búzios,0.665,0.1403508772,0.1351351351,0.15,57
São Pedro da Aldeia,0.648,0.1578947368,0.1538461538,0.1666666667,57
Araranguá,0.644,0.1052631579,0.09375,0.08,57
Itabira,0.645,0.1785714286,0.1666666667,0.1428571429,56
Pouso Alegre,0.638,0.125,0.1176470588,0.0909090909,56
Ijuí,0.591,0.1785714286,0.1290322581,0.2,56
Carazinho,0.599,0.1454545455,0.0857142857,0.2,55
Timóteo,0.632,0.2727272727,0.3235294118,0.1904761905,55
Camaçari,0.742,0.1454545455,0.0689655172,0.1923076923,55
Itapema,0.649,0.1272727273,0.1463414634,0.0714285714,55
Lajeado,0.624,0.1481481481,0.125,0.1818181818,54
Barretos,0.609,0.1296296296,0.1,0.125,54
Lauro de Freitas,0.709,0.1666666667,0.24,0.0689655172,54
Santa Luzia,0.692,0.0555555556,0.0344827586,0.04,54
São José do Cerrito,0.579,0.0925925926,0.1052631579,0.0625,54
Cotia,0.683,0.1111111111,0.0975609756,0.0769230769,54
Maracanaú,0.719,0.1320754717,0.1515151515,0.1,53
Ilhéus,0.674,0.1132075472,0.1153846154,0.0740740741,53
Embu,0.714,0.1346153846,0.1470588235,0.0555555556,52
Congonhas,0.653,0.1346153846,0.1153846154,0.1153846154,52
Itaperuna,0.602,0.1153846154,0.1388888889,0,52
Penha,0.629,0.1923076923,0.1470588235,0.2222222222,52
Itajubá,0.619,0.1568627451,0.2,0.0476190476,51
Ilhota,0.663,0.1568627451,0.1515151515,0.1666666667,51
Araxá,0.626,0.06,0.0277777778,0.0714285714,50
Santa Cruz,0.697,0.14,0.1428571429,0.0909090909,50
Santa Terezinha de Itaipu,0.659,0.12,0.1034482759,0.0952380952,50
Poá,0.673,0.12,0.0571428571,0.2,50
Itanhaém,0.613,0.16,0.1666666667,0.1538461538,50
Caicó,0.641,0.04,0.08,0,50
Içara,0.647,0.2040816327,0.2,0.2083333333,49
Salto,0.641,0.0816326531,0.0689655172,0.05,49
Valença,0.588,0.1428571429,0.0882352941,0.2,49
Santa Rosa,0.611,0.1224489796,0.09375,0.1176470588,49
Paulínia,0.671,0.1458333333,0.1714285714,0,48
Birigui,0.611,0.1666666667,0.2058823529,0,48
Colatina,0.626,0.1458333333,0.1481481481,0.0952380952,48
Francisco Beltrão,0.648,0.125,0.1315789474,0.1,48
Ourinhos,0.613,0.1458333333,0.1481481481,0.1428571429,48
Três Rios,0.611,0.1458333333,0.1333333333,0.1111111111,48
Itaquaquecetuba,0.723,0.085106383,0.08,0.0454545455,47
Cachoeiro de Itapemirim,0.641,0.085106383,0.0909090909,0,47
Arujá,0.677,0.0638297872,0.0333333333,0.0588235294,47
Assis,0.598,0.1914893617,0.16,0.1818181818,47
Barbacena,0.605,0.0638297872,0.0303030303,0.0714285714,47
Santa Bárbara d'Oeste,0.624,0.170212766,0.1290322581,0.1875,47
Arapiraca,0.711,0.0434782609,0.04,0,46
Saquarema,0.617,0.1304347826,0.125,0.0714285714,46
Várzea Grande,0.72,0.1333333333,0.1153846154,0.1052631579,45
Caçapava,0.64,0.2,0.2580645161,0,45
Lagoa Santa,0.646,0.0666666667,0.0769230769,0,45
São João del Rei,0.585,0.1111111111,0.1851851852,0,45
Sumaré,0.684,0.0888888889,0.1538461538,0,45
Jaú,0.616,0.0888888889,0.12,0,45
Três Lagoas,0.671,0.1111111111,0.1,0.0666666667,45
Botucatu,0.62,0.0888888889,0.0967741935,0,45
Rio do Sul,0.642,0.1363636364,0.09375,0.1666666667,44
Muriaé,0.617,0.1136363636,0.1428571429,0,44
Valparaíso de Goiás,0.763,0.1136363636,0.0769230769,0.1111111111,44
Cabo de Santo Agostinho,0.71,0.0454545455,0.04,0,44
Parauapebas,0.817,0.1136363636,0.04,0.1578947368,44
Mogi Guaçu,0.625,0.0465116279,0.0333333333,0,43
Videira,0.66,0.0930232558,0.1111111111,0,43
Ribeirão das Neves,0.713,0.1162790698,0.1071428571,0.1333333333,43
Sapucaia do Sul,0.644,0.1162790698,0.0434782609,0.15,43
Cruzeiro,0.621,0.0465116279,0.0689655172,0,43
Vacaria,0.619,0.1162790698,0.1290322581,0,43
Sertãozinho,0.658,0.0930232558,0.08,0.0555555556,43
Bertioga,0.711,0.1904761905,0.1724137931,0.1538461538,42
Alegrete,0.583,0.1428571429,0.1515151515,0,42
Caieiras,0.674,0.2380952381,0.1153846154,0.375,42
Osório,0.609,0.1904761905,0.1923076923,0.1875,42
Abreu e Lima,0.67,0.0952380952,0,0.1428571429,42
Campo Bom,0.63,0.1904761905,0.21875,0,42
Sobral,0.727,0.0975609756,0.0952380952,0.05,41
Lorena,0.627,0.0975609756,0.0909090909,0.0526315789,41
Leme,0.658,0.1219512195,0.1428571429,0,41
Sabará,0.67,0.1219512195,0.1923076923,0,41
Guaratinguetá,0.608,0.0487804878,0.03125,0,41
Santo Ângelo,0.599,0.2,0.2083333333,0.125,40
Teófilo Otoni,0.648,0.15,0.2083333333,0.0625,40
Camaquã,0.604,0.05,0.03125,0,40
Farroupilha,0.618,0.125,0.1,0.1,40
Colombo,0.706,0.05,0.0357142857,0,40
Alexandria,0.631,0.1,0.1153846154,0,40
Sinop,0.73,0.1,0.1,0.1,40
Tramandaí,0.61,0.175,0.2916666667,0,40
Vespasiano,0.71,0.05,0.0416666667,0,40
Sapiranga,0.664,0.15,0.1851851852,0.0769230769,40
Parintins,0.783,0.05,0.0384615385,0,40
Santa Rita,0.7,0.1538461538,0.0714285714,0.16,39
Hortolândia,0.692,0.1025641026,0.1304347826,0,39
Itatiba,0.637,0.2307692308,0.1923076923,0.2307692308,39
Campo Mourão,0.635,0.0512820513,0,0.0769230769,39
São Lourenço,0.592,0.1794871795,0.2173913043,0.0625,39
Panambi,0.637,0.1025641026,0.0434782609,0.125,39
Umuarama,0.623,0.1025641026,0.0666666667,0.1111111111,39
Ibitinga,0.623,0.1578947368,0.0869565217,0.2,38
Itumbiara,0.626,0.1052631579,0.12,0,38
Caucaia,0.724,0.1578947368,0.0588235294,0.1904761905,38
Ji-Paraná,0.709,0.0789473684,0.1304347826,0,38
São João da Boa Vista,0.582,0.1081081081,0.1153846154,0,37
Lins,0.598,0.1351351351,0.1428571429,0.0625,37
Avaré,0.63,0.0555555556,0,0.0666666667,36
Itapevi,0.726,0.0555555556,0.0416666667,0,36
Vassouras,0.613,0.2222222222,0.1666666667,0.25,36
Alfenas,0.625,0.1111111111,0.125,0,36
Curvelo,0.639,0.0833333333,0.0909090909,0,36
Araucária,0.703,0.1388888889,0.1538461538,0,36
Pindamonhangaba,0.654,0.0555555556,0.0588235294,0,36
Imbituba,0.598,0.1142857143,0.0434782609,0.1666666667,35
Campos do Jordão,0.67,0.1428571429,0.1052631579,0.125,35
Santana,0.797,0.0857142857,0.0952380952,0.0714285714,35
Marau,0.639,0.2,0.2692307692,0,35
Montenegro,0.62,0.1764705882,0.1818181818,0.1666666667,34
