MUNICIPIO,Y,X,W1,W2,N
Chapecó,0.494,0.0736842105,0.0761904762,0.0705882353,190
Cariacica,0.487,0.1263157895,0.1717171717,0.0769230769,190
Betim,0.493,0.1010638298,0.0724637681,0.18,188
Viamão,0.487,0.1075268817,0.0666666667,0.1604938272,186
Nova Friburgo,0.479,0.0879120879,0.0588235294,0.1134020619,182
Feira de Santana,0.474,0.0607734807,0.0291262136,0.1025641026,181
Araruama,0.485,0.1270718232,0.1022727273,0.1505376344,181
Mesquita,0.474,0.1843575419,0.1782178218,0.1923076923,179
Governador Valadares,0.475,0.0782122905,0.067961165,0.0921052632,179
Gramado,0.486,0.0738636364,0.1018518519,0.0294117647,176
Caruaru,0.474,0.0578034682,0.0535714286,0.0655737705,173
Marília,0.483,0.0465116279,0.027027027,0.0819672131,172
Presidente Prudente,0.481,0.0930232558,0.06,0.1388888889,172
São Carlos,0.491,0.0823529412,0.0666666667,0.1,170
Lages,0.485,0.1065088757,0.0674157303,0.15,169
Viana,0.511,0.1272727273,0.091954023,0.1666666667,165
Itajaí,0.491,0.0853658537,0.0550458716,0.1454545455,164
Limeira,0.491,0.0880503145,0.0769230769,0.0987654321,159
Uberaba,0.488,0.0691823899,0.0638297872,0.0769230769,159
Vitória da Conquista,0.482,0.0573248408,0.0337078652,0.0882352941,157
Jaboatão dos Guararapes,0.473,0.0774193548,0.1,0.0461538462,155
São José dos Pinhais,0.494,0.0838709677,0.0909090909,0.0746268657,155
São Vicente,0.48,0.0714285714,0.0588235294,0.0961538462,154
Alvorada,0.486,0.1409395973,0.1184210526,0.1643835616,149
Paranaguá,0.493,0.1156462585,0.1204819277,0.109375,147
Araçatuba,0.481,0.0479452055,0.0563380282,0.04,146
Jaraguá do Sul,0.502,0.1164383562,0.0697674419,0.1833333333,146
Dourados,0.491,0.0547945205,0.0454545455,0.0689655172,146
Santarém,0.494,0.0689655172,0.023255814,0.1355932203,145
Atibaia,0.491,0.0909090909,0.0631578947,0.1458333333,143
Palhoça,0.498,0.071942446,0.038961039,0.1129032258,139
Uruguaiana,0.486,0.1194029851,0.0333333333,0.1891891892,134
Mauá,0.489,0.0746268657,0.0740740741,0.0754716981,134
Indaiatuba,0.497,0.0909090909,0.1111111111,0.0588235294,132
Bragança Paulista,0.491,0.1230769231,0.0757575758,0.171875,130
Ananindeua,0.48,0.0615384615,0.0731707317,0.0416666667,130
Aparecida de Goiânia,0.493,0.1007751938,0.0864197531,0.125,129
Nilópolis,0.468,0.1023622047,0.0933333333,0.1153846154,127
Araraquara,0.482,0.0476190476,0.0253164557,0.085106383,126
Belford Roxo,0.483,0.152,0.1126760563,0.2037037037,125
Nova Lima,0.483,0.0737704918,0.0512820513,0.1136363636,122
Guarapuava,0.489,0.0819672131,0.0677966102,0.0952380952,122
Jacareí,0.488,0.1166666667,0.0317460317,0.2105263158,120
São João de Meriti,0.476,0.1367521368,0.1298701299,0.15,117
Barra Mansa,0.483,0.0689655172,0.0476190476,0.0943396226,116
Brusque,0.497,0.0689655172,0.0666666667,0.0731707317,116
Itaguaí,0.499,0.1120689655,0.1449275362,0.0638297872,116
Franca,0.488,0.0789473684,0.0952380952,0.0588235294,114
Teresópolis,0.478,0.1052631579,0.0983606557,0.1132075472,114
Sete Lagoas,0.486,0.0175438596,0.0131578947,0.0263157895,114
Marabá,0.506,0.0714285714,0.0526315789,0.0909090909,112
Parnaíba,0.479,0.0720720721,0.1025641026,0,111
Guarapari,0.489,0.0720720721,0.0819672131,0.06,111
Itu,0.495,0.0990990991,0.0819672131,0.12,111
Três Corações,0.496,0.046728972,0.0392156863,0.0535714286,107
Parnamirim,0.479,0.1214953271,0.08,0.21875,107
Maricá,0.492,0.0654205607,0.0588235294,0.0714285714,107
Rio Claro,0.487,0.0660377358,0.0344827586,0.1041666667,106
Torres,0.486,0.1047619048,0.126984127,0.0714285714,105
Taboão da Serra,0.478,0.0769230769,0.0508474576,0.1111111111,104
Valinhos,0.493,0.0865384615,0.1034482759,0.0652173913,104
Bento Gonçalves,0.491,0.0576923077,0,0.1224489796,104
Ubatuba,0.497,0.1067961165,0.1132075472,0.1,103
Santa Cruz do Sul,0.481,0.0297029703,0.0172413793,0.0465116279,101
Viçosa,0.485,0.1111111111,0.125,0.1016949153,99
São José,0.483,0.1212121212,0.1568627451,0.0833333333,99
Bagé,0.478,0.0606060606,0.037037037,0.0888888889,99
Tubarão,0.485,0.1414141414,0.1568627451,0.125,99
Magé,0.486,0.0816326531,0.1041666667,0.06,98
Campos dos Goytacazes,0.481,0.0918367347,0.0208333333,0.16,98
Itaboraí,0.487,0.125,0.1034482759,0.1578947368,96
Erechim,0.481,0.1304347826,0.08,0.1904761905,92
Petrolina,0.487,0.043956044,0.0161290323,0.1034482759,91
Suzano,0.49,0.0111111111,0.0188679245,0,90
Poços de Caldas,0.483,0.0449438202,0.03125,0.08,89
Resende,0.487,0.0227272727,0.0392156863,0,88
Patos de Minas,0.49,0.091954023,0.0784313725,0.1111111111,87
Goiás,0.496,0.0574712644,0.0222222222,0.0952380952,87
Barra do Piraí,0.476,0.0574712644,0.0588235294,0.0555555556,87
Guaíba,0.485,0.023255814,0.0208333333,0.0263157895,86
Esteio,0.483,0.1071428571,0.0612244898,0.1714285714,84
Varginha,0.487,0.0476190476,0.0408163265,0.0571428571,84
Caraguatatuba,0.495,0.0833333333,0.1041666667,0.0555555556,84
Imperatriz,0.482,0.0843373494,0.0625,0.1142857143,83
Juazeiro do Norte,0.474,0.0731707317,0.0689655172,0.0833333333,82
Capão da Canoa,0.49,0.0987654321,0.119047619,0.0769230769,81
Ouro Preto,0.488,0.0987654321,0.1176470588,0.0666666667,81
Carapicuíba,0.485,0.049382716,0.0416666667,0.0606060606,81
Cotia,0.49,0.075,0.0754716981,0.0740740741,80
Lavras,0.485,0.0632911392,0.0652173913,0.0606060606,79
Rondonópolis,0.502,0.0632911392,0.0638297872,0.0625,79
Arraial do Cabo,0.492,0.0897435897,0.1081081081,0.0731707317,78
Santa Terezinha de Itaipu,0.489,0.1168831169,0.1777777778,0.03125,77
Araras,0.494,0.1038961039,0.0238095238,0.2,77
Itapetininga,0.5,0.1038961039,0.0930232558,0.1176470588,77
Lajeado,0.486,0.1333333333,0.1052631579,0.1621621622,75
Osório,0.493,0.1232876712,0.0555555556,0.1891891892,73
Araranguá,0.492,0.1095890411,0.125,0.0975609756,73
Ilhéus,0.486,0.0547945205,0.0612244898,0.0416666667,73
Coronel Fabriciano,0.483,0.0694444444,0.0810810811,0.0571428571,72
Toledo,0.489,0.0694444444,0.0243902439,0.1290322581,72
São Borja,0.491,0.1666666667,0.1555555556,0.1851851852,72
Itabuna,0.474,0.0833333333,0.0727272727,0.1176470588,72
Ijuí,0.483,0.1126760563,0.1081081081,0.1176470588,71
Lauro de Freitas,0.485,0.1428571429,0.1363636364,0.1538461538,70
Santa Quitéria,0.501,0.1304347826,0.125,0.1351351351,69
Conselheiro Lafaiete,0.484,0.0579710145,0.0652173913,0.0434782609,69
Porto,0.505,0.0735294118,0.0909090909,0.0416666667,68
Araxá,0.494,0.0588235294,0.0243902439,0.1111111111,68
Garanhuns,0.471,0.0882352941,0.0243902439,0.1851851852,68
Cubatão,0.499,0.0597014925,0.0263157895,0.1034482759,67
Assis,0.487,0.1194029851,0.0789473684,0.1724137931,67
Salto,0.494,0.0298507463,0.0571428571,0,67
Itajubá,0.491,0.1044776119,0.1,0.1111111111,67
Linhares,0.498,0.0597014925,0.0833333333,0,67
Teófilo Otoni,0.478,0.1194029851,0.119047619,0.12,67
Embu,0.486,0.1212121212,0.09375,0.1470588235,66
São Pedro da Aldeia,0.494,0.1212121212,0.0967741935,0.1428571429,66
Pato Branco,0.483,0.0606060606,0.0909090909,0.0303030303,66
São José do Cerrito,0.518,0.1060606061,0.0975609756,0.12,66
Itapema,0.489,0.0909090909,0.0588235294,0.125,66
São Mateus,0.495,0.1384615385,0.0833333333,0.2068965517,65
Rio do Sul,0.49,0.1111111111,0.1111111111,0.1111111111,63
Itabira,0.48,0.0793650794,0.0731707317,0.0909090909,63
Caçapava,0.496,0.1451612903,0.1290322581,0.1612903226,62
Armação dos Búzios,0.499,0.1129032258,0.037037037,0.1714285714,62
Ilhota,0.504,0.1451612903,0.1842105263,0.0833333333,62
Santa Luzia,0.485,0.1129032258,0.0930232558,0.1578947368,62
Timóteo,0.482,0.1774193548,0.0357142857,0.2941176471,62
Santa Cruz,0.488,0.1129032258,0.0882352941,0.1428571429,62
Itaperuna,0.486,0.0819672131,0.1142857143,0.0384615385,61
Itaubal,0.544,0.1,0.1282051282,0.0476190476,60
Carazinho,0.477,0.0666666667,0.0689655172,0.064516129,60
Santana de Parnaíba,0.493,0.15,0.1388888889,0.1666666667,60
Sumaré,0.497,0.1,0.0714285714,0.125,60
Santa Bárbara d'Oeste,0.496,0.1333333333,0.0882352941,0.1923076923,60
Içara,0.498,0.15,0.0967741935,0.2068965517,60
Paulínia,0.495,0.1525423729,0.1612903226,0.1428571429,59
Paulista,0.471,0.1355932203,0.1052631579,0.1904761905,59
Sapucaia do Sul,0.487,0.1016949153,0.0476190476,0.2352941176,59
Maracanaú,0.488,0.1206896552,0.1351351351,0.0952380952,58
Barretos,0.483,0.1206896552,0.0714285714,0.1666666667,58
Camaçari,0.497,0.1206896552,0.1290322581,0.1111111111,58
Penha,0.499,0.1206896552,0.1153846154,0.125,58
Barbacena,0.476,0.0862068966,0.0625,0.1153846154,58
Camaquã,0.492,0.1228070175,0.075,0.2352941176,57
Pouso Alegre,0.494,0.1228070175,0.0344827586,0.2142857143,57
Santa Rosa,0.488,0.1052631579,0.0303030303,0.2083333333,57
Birigui,0.488,0.1428571429,0.1176470588,0.1818181818,56
Sobral,0.486,0.0357142857,0.027027027,0.0526315789,56
Cabo de Santo Agostinho,0.491,0.0357142857,0.0285714286,0.0476190476,56
Umuarama,0.485,0.0535714286,0,0.0909090909,56
Imbituba,0.493,0.0535714286,0.0689655172,0.037037037,56
Poá,0.484,0.0892857143,0.0625,0.125,56
Navegantes,0.498,0.1428571429,0.2068965517,0.0740740741,56
Cachoeiro de Itapemirim,0.489,0.0714285714,0.0857142857,0.0476190476,56
Itaquaquecetuba,0.493,0.1272727273,0.1315789474,0.1176470588,55
Valença,0.48,0.1636363636,0.25,0.0967741935,55
Colatina,0.486,0.0909090909,0.0909090909,0.0909090909,55
Abreu e Lima,0.478,0.037037037,0.0526315789,0,54
Alegrete,0.49,0.0925925926,0,0.2083333333,54
Congonhas,0.491,0.0740740741,0.0344827586,0.12,54
Jaú,0.49,0.0555555556,0.0333333333,0.0833333333,54
Lorena,0.483,0.1132075472,0.1515151515,0.05,53
João Monlevade,0.476,0.0188679245,0,0.04,53
Hortolândia,0.506,0.0754716981,0.1034482759,0.0416666667,53
Arujá,0.493,0.0576923077,0.0285714286,0.1176470588,52
Lagoa Santa,0.49,0.0769230769,0.0740740741,0.08,52
Ourinhos,0.485,0.0961538462,0.0588235294,0.1666666667,52
Francisco Beltrão,0.494,0.1538461538,0.2,0.0588235294,52
Vacaria,0.49,0.0769230769,0.1111111111,0.04,52
Farroupilha,0.492,0.0384615385,0.0571428571,0,52
Santa Maria da Boa Vista,0.504,0.0588235294,0.0740740741,0.0416666667,51
Três Rios,0.478,0.0980392157,0.0454545455,0.1379310345,51
Alexandria,0.49,0.0588235294,0,0.0882352941,51
Arapiraca,0.476,0.0392156863,0.0512820513,0,51
Colombo,0.493,0.0588235294,0.0625,0.0526315789,51
Lins,0.486,0.0980392157,0.0344827586,0.1818181818,51
São João del Rei,0.48,0.1176470588,0.0857142857,0.1875,51
Campo Bom,0.491,0.0392156863,0.0588235294,0,51
Botucatu,0.485,0.06,0.0689655172,0.0476190476,50
Santo Ângelo,0.48,0.16,0.0666666667,0.3,50
Sabará,0.482,0.08,0.0740740741,0.0869565217,50
Três Lagoas,0.496,0.08,0.1379310345,0,50
Guaratinguetá,0.481,0.06,0.0625,0.0555555556,50
Parauapebas,0.506,0.04,0.03125,0.0555555556,50
Muriaé,0.484,0.0408163265,0,0.08,49
Ji-Paraná,0.496,0.1020408163,0.0833333333,0.12,49
Avaré,0.496,0.0204081633,0.037037037,0,49
Saquarema,0.497,0.0816326531,0.1052631579,0.0666666667,49
Ribeirão das Neves,0.496,0.0816326531,0.1212121212,0,49
Caieiras,0.489,0.1632653061,0.1111111111,0.2272727273,49
Sinop,0.509,0.0612244898,0.03125,0.1176470588,49
Itumbiara,0.493,0.0204081633,0.0294117647,0,49
Sapiranga,0.493,0.1666666667,0.1923076923,0.1363636364,48
Itanhaém,0.485,0.125,0.1428571429,0.1,48
Itatiba,0.494,0.1666666667,0.1785714286,0.15,48
Araucária,0.5,0.085106383,0,0.1818181818,47
Cruzeiro,0.487,0.0638297872,0.0689655172,0.0555555556,47
Videira,0.493,0.0638297872,0.0952380952,0.0384615385,47
Pindamonhangaba,0.492,0.0212765957,0,0.0476190476,47
Tramandaí,0.483,0.1914893617,0.0740740741,0.35,47
Sertãozinho,0.497,0.1063829787,0.2,0,47
Vinhedo,0.495,0.0652173913,0.0689655172,0.0588235294,46
Várzea Grande,0.496,0.1304347826,0.1333333333,0.125,46
Araguaína,0.489,0.0217391304,0,0.0555555556,46
Montenegro,0.492,0.1304347826,0.1153846154,0.15,46
Alfenas,0.489,0.0652173913,0.1,0,46
Itaúna,0.493,0.0222222222,0.0416666667,0,45
Santana,0.498,0.0888888889,0.1071428571,0.0588235294,45
Ibitinga,0.493,0.1333333333,0.15,0.12,45
Valparaíso de Goiás,0.486,0.0444444444,0,0.1052631579,45
Tatuí,0.494,0.0666666667,0.0357142857,0.1176470588,45
Mogi Guaçu,0.496,0.0681818182,0.12,0,44
Eldorado do Sul,0.495,0.2045454545,0.16,0.2631578947,44
Paracambi,0.505,0.0227272727,0,0.0555555556,44
Vespasiano,0.488,0.0909090909,0.0606060606,0.1818181818,44
Itapevi,0.492,0.0465116279,0.0434782609,0.05,43
Vilhena,0.496,0.1162790698,0.0416666667,0.2105263158,43
Bertioga,0.5,0.1627906977,0.1578947368,0.1666666667,43
Leme,0.502,0.0465116279,0,0.0869565217,43
Castanhal,0.488,0.1162790698,0.1111111111,0.125,43
Diamantina,0.485,0.1162790698,0.0714285714,0.2,43
Caicó,0.484,0.023255814,0.0277777778,0,43
Campos do Jordão,0.49,0.0465116279,0.0769230769,0,43
Pinhais,0.486,0.1666666667,0.25,0.0909090909,42
Laguna,0.491,0.1666666667,0.1739130435,0.1578947368,42
Vassouras,0.476,0.1666666667,0.1428571429,0.1904761905,42
Paranavaí,0.482,0.0487804878,0.037037037,0.0714285714,41
Jaguariúna,0.497,0.0487804878,0.0416666667,0.0588235294,41
Parintins,0.513,0.0487804878,0.0909090909,0,41
Taquara,0.492,0.0487804878,0.0434782609,0.0555555556,41
Ibirité,0.49,0.0487804878,0.0769230769,0,41
Santa Rita,0.483,0.1707317073,0.1153846154,0.2666666667,41
Votorantim,0.496,0.1219512195,0.0952380952,0.15,41
Apucarana,0.485,0.1,0.08,0.1333333333,40
Panambi,0.5,0.05,0.03125,0.125,40
São João da Boa Vista,0.485,0.05,0,0.0952380952,40
Ilhabela,0.508,0.1282051282,0.0555555556,0.1904761905,39
Anchieta,0.505,0.1025641026,0.1176470588,0.0909090909,39
Pirassununga,0.489,0.0769230769,0.1,0.0526315789,39
São Lourenço da Mata,0.486,0.1025641026,0.0769230769,0.1538461538,39
Caucaia,0.49,0.0769230769,0.0384615385,0.1538461538,39
Tucuruí,0.498,0.0769230769,0.0952380952,0.0555555556,39
Marau,0.496,0.1052631579,0.0434782609,0.2,38
Sombrio,0.491,0.0789473684,0.1111111111,0.05,38
Campo Mourão,0.482,0.0263157895,0,0.0666666667,38
Crato,0.475,0.0263157895,0.0384615385,0,38
Curvelo,0.487,0.0789473684,0.1111111111,0,38
Luziânia,0.499,0.0526315789,0.0689655172,0,38
Patos,0.475,0.0526315789,0.0384615385,0.0833333333,38
São Francisco do Sul,0.498,0.0810810811,0.125,0.0476190476,37
São Lourenço,0.474,0.1891891892,0.1904761905,0.1875,37
Catanduva,0.486,0.0810810811,0.1071428571,0,37
Jaguarão,0.487,0.1621621622,0.0952380952,0.25,37
Rio Bonito,0.492,0.027027027,0,0.0625,37
Passos,0.495,0.0277777778,0,0.0625,36
Itapecerica da Serra,0.5,0.0555555556,0,0.1818181818,36
Cruz Alta,0.474,0.0277777778,0,0.0833333333,36
Matinhos,0.487,0.0833333333,0.1764705882,0,36
Mariana,0.49,0.0555555556,0.05,0.0625,36
Cajamar,0.499,0.0285714286,0.0476190476,0,35
Itapeva,0.493,0.0285714286,0,0.0769230769,35
Cachoeira do Sul,0.482,0,0,0,35
Itabirito,0.492,0.0571428571,0.0833333333,0,35
Nova Odessa,0.495,0.1428571429,0.0588235294,0.2222222222,35
Jandira,0.49,0.1428571429,0.0952380952,0.2142857143,35
Itararé,0.491,0.0857142857,0.0454545455,0.1538461538,35
Registro,0.491,0,0,0,34
Garopaba,0.503,0.1470588235,0.2222222222,0.0625,34
Vila Rica,0.523,0.1176470588,0.1,0.1428571429,34
Canela,0.487,0.1470588235,0.0666666667,0.2105263158,34
Cianorte,0.487,0.0882352941,0.0384615385,0.25,34
Cosmópolis,0.5,0.2647058824,0.25,0.2727272727,34
União da Vitória,0.49,0.0909090909,0.15,0,33
Rio Grande,0.482,0.0909090909,0.125,0,33
Biguaçu,0.493,0.1212121212,0.1153846154,0.1428571429,33
Barra do Garças,0.498,0.1212121212,0.1,0.1538461538,33
Gaspar,0.495,0.0909090909,0.0555555556,0.1333333333,33
Barcelona,0.511,0,0,0,33
Santos Dumont,0.486,0.1212121212,0.1333333333,0.1111111111,33
Iguaba Grande,0.483,0.15625,0.0625,0.25,32
Coimbra,0.503,0.03125,0.0666666667,0,32
Patrocínio Paulista,0.507,0.125,0,0.2666666667,32
Santa Teresa,0.5,0.09375,0.1764705882,0,32
Corumbá,0.504,0,0,0,32
Marataízes,0.494,0.1875,0.1333333333,0.2352941176,32
São Sebastião do Paraíso,0.495,0.0625,0,0.1052631579,32
São Bento do Sul,0.498,0.1290322581,0.1052631579,0.1666666667,31
Santa Isabel,0.5,0.1612903226,0.0625,0.2666666667,31
