MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.592,0.0722891566,0.0758747215,0.0596507144,19671
São Paulo,0.635,0.046365706,0.0518261127,0.0296676333,18009
Belo Horizonte,0.622,0.0554913295,0.0610034208,0.0373944511,6920
Porto Alegre,0.589,0.0577190542,0.0626413388,0.0406015038,5752
São Bernardo do Campo,0.641,0.1141714793,0.1238325839,0.096213532,4502
Curitiba,0.632,0.0577421636,0.0620178957,0.0429141717,4243
Brasília,0.705,0.0856102004,0.0871886121,0.0813165537,3843
Recife,0.636,0.0576866764,0.0592763664,0.0514075887,3415
Fortaleza,0.679,0.0632235085,0.06375,0.060371517,2246
Goiânia,0.669,0.0550293189,0.059976247,0.0393996248,2217
Manaus,0.754,0.0471475719,0.0538415003,0.0213675214,2121
Belém,0.688,0.0375653828,0.0380062305,0.0361445783,2103
Florianópolis,0.626,0.0775234131,0.076446281,0.0787234043,1922
Salvador,0.668,0.0596696857,0.0642965204,0.0468468468,1877
Natal,0.663,0.044012945,0.0485347985,0.0309050773,1545
Campinas,0.622,0.0727396329,0.0758807588,0.0604395604,1471
Niterói,0.554,0.0775924583,0.0798076923,0.0678466077,1379
São Luís,0.721,0.0427574171,0.0443645084,0.0352564103,1146
Vitória,0.622,0.0660377358,0.0632111252,0.0706319703,1060
Campo Grande,0.665,0.0594159114,0.0610889774,0.05,993
Santos,0.533,0.0649202733,0.0725925926,0.0344827586,878
João Pessoa,0.665,0.0648899189,0.0715563506,0.0493421053,863
Guarulhos,0.684,0.0713305898,0.0721062619,0.0643564356,729
São José dos Campos,0.652,0.0753623188,0.0833333333,0.0459770115,690
Maceió,0.694,0.0354938272,0.0316455696,0.0402298851,648
Juiz de Fora,0.595,0.0917874396,0.0942184154,0.0779220779,621
Macapá,0.786,0.0429042904,0.0480349345,0.0202702703,606
Joinville,0.66,0.0645695364,0.0706638116,0.0364963504,604
Uberlândia,0.649,0.0581196581,0.0607375271,0.0483870968,585
Aracaju,0.685,0.0830388693,0.0784313725,0.0949367089,566
Vila Velha,0.638,0.0471014493,0.0515695067,0.0188679245,552
Teresina,0.701,0.0612244898,0.0695187166,0.0363636364,539
Duque de Caxias,0.657,0.0986964618,0.1103286385,0.045045045,537
Cuiabá,0.691,0.0510396975,0.0469135802,0.0564516129,529
Sorocaba,0.641,0.0843137255,0.0794871795,0.0916666667,510
Santo André,0.599,0.0511811024,0.0537084399,0.0341880342,508
Buenos Aires,0.687,0.0277227723,0.0269058296,0.0169491525,505
Ribeirão Preto,0.626,0.0321285141,0.0409836066,0.0075757576,498
São Gonçalo,0.617,0.1069958848,0.1161473088,0.0751879699,486
Londrina,0.621,0.0730688935,0.0642458101,0.0909090909,479
Guarujá,0.671,0.0798319328,0.0795454545,0.0725806452,476
Canoas,0.63,0.082278481,0.0748663102,0.1,474
Pelotas,0.588,0.0767590618,0.0756756757,0.0808080808,469
Maringá,0.614,0.0592105263,0.0661157025,0.0215053763,456
Petrópolis,0.592,0.0801886792,0.090625,0.0480769231,424
Peruíbe,0.616,0.0898345154,0.1023391813,0.037037037,423
Blumenau,0.642,0.0543735225,0.0584615385,0.0306122449,423
Contagem,0.665,0.0863309353,0.0925925926,0.0537634409,417
Caxias do Sul,0.636,0.0641975309,0.0550458716,0.1025641026,405
Palmas,0.781,0.0385604113,0.041958042,0.0194174757,389
Osasco,0.659,0.0620155039,0.0729927007,0.0265486726,387
Porto Velho,0.742,0.0594315245,0.0584415584,0.0506329114,387
Rio Branco,0.756,0.074270557,0.0805860806,0.0480769231,377
Cabo Frio,0.644,0.1027027027,0.0942760943,0.1232876712,370
Santiago,0.57,0.0328767123,0.0303951368,0.0277777778,365
Gravataí,0.642,0.115819209,0.124567474,0.0615384615,354
Serra,0.706,0.0796460177,0.0826771654,0.0588235294,339
Novo Hamburgo,0.621,0.1035502959,0.11328125,0.0609756098,338
Santa Maria,0.605,0.0801186944,0.0836363636,0.0483870968,337
Boa Vista,0.773,0.0595238095,0.0602836879,0.037037037,336
Volta Redonda,0.593,0.0900900901,0.1056603774,0.0147058824,333
Ipatinga,0.656,0.1060606061,0.0912698413,0.1538461538,330
Criciúma,0.64,0.0729483283,0.0798479087,0.0303030303,329
Olinda,0.64,0.0495356037,0.0538116592,0.03,323
Nova Iguaçu,0.651,0.0809968847,0.0941176471,0.0151515152,321
Campina Grande,0.671,0.0632911392,0.0681818182,0.0416666667,316
Balneário Camboriú,0.626,0.0357142857,0.0401606426,0.0169491525,308
Jundiaí,0.607,0.06271777,0.0636363636,0.0597014925,287
Mossoró,0.686,0.0411985019,0.0429447853,0.0288461538,267
Macaé,0.693,0.0898876404,0.0814479638,0.1086956522,267
São José do Rio Preto,0.596,0.0581395349,0.0571428571,0.0625,258
