MUNICIPIO,Y,X,W1,W2,N
Rio de Janeiro,0.468,0.0902894976,0.0788607595,0.1023181455,15406
São Paulo,0.474,0.0550102716,0.0468952975,0.0664830119,13143
Belo Horizonte,0.469,0.068,0.059706258,0.0802644004,5250
Porto Alegre,0.464,0.0623690947,0.0512820513,0.0783200908,4297
São Bernardo do Campo,0.483,0.1234743117,0.1112153918,0.1422413793,3523
Curitiba,0.477,0.068203347,0.0545356371,0.0874524715,3167
Brasília,0.478,0.0869252874,0.077904634,0.0972972973,2784
Recife,0.462,0.0679012346,0.0572987722,0.081705151,2592
Fortaleza,0.468,0.0752941176,0.0665380906,0.0889894419,1700
Belém,0.473,0.0495110024,0.0410367171,0.0605633803,1636
Manaus,0.488,0.0540201005,0.046306505,0.0642335766,1592
Goiânia,0.477,0.0509878904,0.0553814002,0.0441176471,1569
Florianópolis,0.482,0.0888575458,0.0668414155,0.1145038168,1418
Salvador,0.467,0.0657894737,0.0615384615,0.0726577438,1368
Natal,0.47,0.0495221546,0.0384615385,0.0753623188,1151
Campinas,0.482,0.0780809031,0.0716510903,0.0878859857,1063
Niterói,0.463,0.086073501,0.0823327616,0.0909090909,1034
São Luís,0.468,0.0542372881,0.0462107209,0.0668604651,885
Vitória,0.47,0.0885286783,0.0726495726,0.1107784431,802
Campo Grande,0.485,0.0659630607,0.0630630631,0.0700636943,758
Santos,0.458,0.0776397516,0.0566037736,0.1062271062,644
João Pessoa,0.467,0.0644122383,0.0677570093,0.0569948187,621
Guarulhos,0.487,0.0960144928,0.0716332378,0.1379310345,552
São José dos Campos,0.49,0.0780952381,0.0662251656,0.0941704036,525
Juiz de Fora,0.473,0.1067761807,0.1067193676,0.1068376068,487
Maceió,0.468,0.0538302277,0.0401337793,0.0760869565,483
Duque de Caxias,0.481,0.1172707889,0.1007194245,0.1413612565,469
Uberlândia,0.488,0.0707762557,0.0456273764,0.1085714286,438
Joinville,0.496,0.0711009174,0.0679245283,0.0760233918,436
Aracaju,0.465,0.0900692841,0.0557491289,0.1575342466,433
Vila Velha,0.48,0.0629539952,0.0442477876,0.0855614973,413
Teresina,0.468,0.0533980583,0.0461538462,0.0657894737,412
Pelotas,0.47,0.0855745721,0.0625,0.1183431953,409
Sorocaba,0.489,0.0992555831,0.0905349794,0.1125,403
Santo André,0.48,0.067839196,0.0403587444,0.1028571429,398
Macapá,0.491,0.0453400504,0.0458015267,0.0444444444,397
São Gonçalo,0.475,0.1170483461,0.0895522388,0.1458333333,393
Cuiabá,0.489,0.0565552699,0.0379746835,0.0855263158,389
Peruíbe,0.488,0.1029023747,0.102189781,0.1033057851,379
Guarujá,0.487,0.1002710027,0.0882352941,0.1151515152,369
Petrópolis,0.477,0.0919220056,0.0696517413,0.1202531646,359
Canoas,0.482,0.061452514,0.0616740088,0.0610687023,358
Ribeirão Preto,0.48,0.0466472303,0.0577777778,0.0254237288,343
Londrina,0.48,0.0816326531,0.0710900474,0.0984848485,343
Blumenau,0.49,0.0644171779,0.0445544554,0.0967741935,326
Buenos Aires,0.494,0.0308641975,0.0430107527,0.0144927536,324
Contagem,0.485,0.0880503145,0.0853080569,0.0934579439,318
Maringá,0.481,0.050955414,0.0395480226,0.0656934307,314
Caxias do Sul,0.49,0.0655737705,0.0646766169,0.0673076923,305
Osasco,0.481,0.08,0.09375,0.0555555556,300
Rio Branco,0.487,0.0666666667,0.0409356725,0.1007751938,300
Palmas,0.494,0.0492957746,0.0238095238,0.0862068966,284
Porto Velho,0.508,0.0758122744,0.0413793103,0.1136363636,277
Cabo Frio,0.488,0.115942029,0.0791366906,0.1532846715,276
Ipatinga,0.485,0.1094890511,0.0987654321,0.125,274
Gravataí,0.489,0.1333333333,0.0955882353,0.171641791,270
Serra,0.492,0.091954023,0.0536912752,0.1428571429,261
Olinda,0.463,0.0588235294,0.0588235294,0.0588235294,255
Santa Maria,0.474,0.0830039526,0.0821917808,0.0841121495,253
Criciúma,0.492,0.1035856574,0.072,0.1349206349,251
Nova Iguaçu,0.479,0.1169354839,0.1014492754,0.1363636364,248
Volta Redonda,0.477,0.0759493671,0.052238806,0.1067961165,237
Novo Hamburgo,0.485,0.0987124464,0.0839160839,0.1222222222,233
Boa Vista,0.495,0.0815450644,0.0583333333,0.1061946903,233
Campina Grande,0.473,0.0570175439,0.0445859873,0.0845070423,228
Bauru,0.485,0.0947867299,0.0859375,0.1084337349,211
Jundiaí,0.487,0.0669856459,0.0579710145,0.0845070423,209
Balneário Camboriú,0.476,0.0390243902,0.0173913043,0.0666666667,205
Poço Fundo,0.515,0.085,0.0298507463,0.1127819549,200
Macaé,0.496,0.0858585859,0.0803571429,0.0930232558,198
Santiago,0.48,0.0406091371,0.0434782609,0.0338983051,197
Foz do Iguaçu,0.485,0.0769230769,0.0404040404,0.1145833333,195
Mossoró,0.484,0.0564102564,0.0512820513,0.0769230769,195
Anápolis,0.488,0.0518134715,0.0560747664,0.0465116279,193
Piracicaba,0.489,0.0846560847,0.0989010989,0.0714285714,189
Mogi das Cruzes,0.487,0.0752688172,0.0594059406,0.0941176471,186
Divinópolis,0.487,0.0869565217,0.0796460177,0.0985915493,184
Rio das Ostras,0.494,0.0710382514,0.04,0.1084337349,183
Montes Claros,0.482,0.0662983425,0.0598290598,0.078125,181
Queimados,0.483,0.1777777778,0.1590909091,0.1956521739,180
Angra dos Reis,0.5,0.095505618,0.1095890411,0.0857142857,178
São José do Rio Preto,0.48,0.0747126437,0.0526315789,0.1166666667,174
Taubaté,0.491,0.1104651163,0.12,0.0972222222,172
Ribeirão Pires,0.489,0.1228070175,0.1176470588,0.1304347826,171
Barueri,0.486,0.0764705882,0.0588235294,0.1029411765,170
Cascavel,0.488,0.0892857143,0.0707070707,0.115942029,168
Ponta Grossa,0.486,0.0802469136,0.0425531915,0.1323529412,162
São Leopoldo,0.487,0.1172839506,0.0973451327,0.1632653061,162
Diadema,0.484,0.0967741935,0.0947368421,0.1,155
Passo Fundo,0.476,0.1118421053,0.0722891566,0.1594202899,152
Cariacica,0.487,0.1118421053,0.1358024691,0.0845070423,152
Betim,0.493,0.1118421053,0.0825688073,0.1860465116,152
Ouro Branco,0.498,0.1125827815,0.0833333333,0.1318681319,151
São Caetano do Sul,0.461,0.08,0.0879120879,0.0677966102,150
Praia Grande,0.481,0.0872483221,0.0927835052,0.0769230769,149
Americana,0.49,0.1103448276,0.0875,0.1384615385,145
Chapecó,0.494,0.0638297872,0.0506329114,0.0806451613,141
Feira de Santana,0.474,0.0642857143,0.0361445783,0.1052631579,140
Caruaru,0.474,0.0575539568,0.0430107527,0.0869565217,139
Viana,0.511,0.1111111111,0.0666666667,0.1666666667,135
Araruama,0.485,0.1037037037,0.1044776119,0.1029411765,135
Itajaí,0.491,0.0814814815,0.043956044,0.1590909091,135
Marília,0.483,0.0447761194,0.025,0.0740740741,134
Cachoeirinha,0.483,0.1044776119,0.0909090909,0.1228070175,134
Mesquita,0.474,0.1954887218,0.1756756757,0.2203389831,133
Gramado,0.486,0.0827067669,0.119047619,0.0204081633,133
Governador Valadares,0.475,0.0902255639,0.0595238095,0.1428571429,133
Viamão,0.487,0.1287878788,0.0506329114,0.2452830189,132
Vitória da Conquista,0.482,0.0606060606,0.0384615385,0.0925925926,132
Lages,0.485,0.1153846154,0.0694444444,0.1724137931,130
São Vicente,0.48,0.078125,0.0681818182,0.1,128
São Carlos,0.491,0.0787401575,0.0704225352,0.0892857143,127
Jaboatão dos Guararapes,0.473,0.0894308943,0.1126760563,0.0576923077,123
Presidente Prudente,0.481,0.0975609756,0.0547945205,0.16,123
Nova Friburgo,0.479,0.0901639344,0.0338983051,0.1428571429,122
Uberaba,0.488,0.0743801653,0.0694444444,0.0816326531,121
São José dos Pinhais,0.494,0.1016949153,0.1176470588,0.08,118
Paranaguá,0.493,0.1217391304,0.1212121212,0.1224489796,115
Dourados,0.491,0.0350877193,0.0273972603,0.0487804878,114
Mauá,0.489,0.0625,0.0597014925,0.0666666667,112
Alvorada,0.486,0.1339285714,0.0847457627,0.1886792453,112
Santarém,0.494,0.0714285714,0.0303030303,0.1304347826,112
Jaraguá do Sul,0.502,0.1081081081,0.0746268657,0.1590909091,111
Indaiatuba,0.497,0.0909090909,0.1044776119,0.0697674419,110
Araçatuba,0.481,0.0454545455,0.0545454545,0.0363636364,110
Palhoça,0.498,0.0636363636,0.0307692308,0.1111111111,110
Limeira,0.491,0.0849056604,0.0727272727,0.0980392157,106
Uruguaiana,0.486,0.1333333333,0.0217391304,0.2203389831,105
Atibaia,0.491,0.0857142857,0.0540540541,0.1612903226,105
Bragança Paulista,0.491,0.1442307692,0.0961538462,0.1923076923,104
Nova Lima,0.483,0.0784313725,0.0634920635,0.1025641026,102
Ananindeua,0.48,0.0495049505,0.0625,0.027027027,101
Aparecida de Goiânia,0.493,0.09,0.0769230769,0.1142857143,100
Nilópolis,0.468,0.1020408163,0.0819672131,0.1351351351,98
Araraquara,0.482,0.0515463918,0.0327868852,0.0833333333,97
São João de Meriti,0.476,0.1443298969,0.1451612903,0.1428571429,97
Jacareí,0.488,0.1290322581,0.0425531915,0.2173913043,93
Franca,0.488,0.0869565217,0.0980392157,0.0731707317,92
Belford Roxo,0.483,0.1413043478,0.0980392157,0.1951219512,92
Guarapuava,0.489,0.1011235955,0.0697674419,0.1304347826,89
Sete Lagoas,0.486,0.0224719101,0.0158730159,0.0384615385,89
Torres,0.486,0.125,0.1509433962,0.0857142857,88
Marabá,0.506,0.0795454545,0.0612244898,0.1025641026,88
Rio Claro,0.487,0.0574712644,0.0204081633,0.1052631579,87
Ubatuba,0.497,0.1162790698,0.1086956522,0.125,86
Teresópolis,0.478,0.1046511628,0.08,0.1388888889,86
Parnamirim,0.479,0.1162790698,0.0806451613,0.2083333333,86
Tubarão,0.485,0.1294117647,0.1777777778,0.075,85
Três Corações,0.496,0.0476190476,0.05,0.0454545455,84
Brusque,0.497,0.0843373494,0.0877192982,0.0769230769,83
Valinhos,0.493,0.0963855422,0.1333333333,0.0526315789,83
Barra Mansa,0.483,0.0609756098,0.0444444444,0.0810810811,82
