MUNICIPIO,Y,X,W1,W2,N
Americana,0.598,0.1215469613,0.1496062992,0.037037037,181
Betim,0.704,0.1123595506,0.0901639344,0.1428571429,178
Feira de Santana,0.703,0.0742857143,0.099009901,0.027027027,175
Chapecó,0.685,0.0747126437,0.0814814815,0.0256410256,174
Caruaru,0.694,0.0650887574,0.0578512397,0.0625,169
Governador Valadares,0.648,0.1017964072,0.081300813,0.1363636364,167
Itajaí,0.67,0.0848484848,0.0733944954,0.0892857143,165
Cachoeirinha,0.632,0.0981595092,0.0983606557,0.0731707317,163
Araruama,0.614,0.10625,0.1228070175,0.0434782609,160
Lages,0.642,0.1125,0.125,0.0625,160
Gramado,0.615,0.0754716981,0.0840336134,0.025,159
Vitória da Conquista,0.691,0.0759493671,0.101010101,0.0169491525,158
São Carlos,0.615,0.0700636943,0.0857142857,0.0384615385,157
Mesquita,0.628,0.1935483871,0.206185567,0.1551724138,155
Marília,0.607,0.0451612903,0.0384615385,0.0392156863,155
Viana,0.701,0.1103896104,0.0729166667,0.1551724138,154
São Vicente,0.645,0.0933333333,0.0857142857,0.0888888889,150
Presidente Prudente,0.602,0.1133333333,0.0927835052,0.1320754717,150
Viamão,0.642,0.1216216216,0.1160714286,0.1388888889,148
Nova Friburgo,0.585,0.0972222222,0.1,0.0681818182,144
São José dos Pinhais,0.7,0.1188811189,0.1,0.1395348837,143
Paranaguá,0.682,0.1328671329,0.1485148515,0.0952380952,143
Jaboatão dos Guararapes,0.677,0.1063829787,0.0795454545,0.1320754717,141
Dourados,0.682,0.0503597122,0.0454545455,0.0392156863,139
Uberaba,0.618,0.0652173913,0.085106383,0.0227272727,138
Bragança Paulista,0.626,0.1386861314,0.1547619048,0.0943396226,137
Limeira,0.624,0.0955882353,0.0769230769,0.1333333333,136
Jaraguá do Sul,0.682,0.1037037037,0.1263157895,0.025,135
Santarém,0.752,0.0666666667,0.0612244898,0.0540540541,135
Indaiatuba,0.649,0.0984848485,0.0860215054,0.1025641026,132
Aparecida de Goiânia,0.735,0.0916030534,0.1097560976,0.0408163265,131
Mauá,0.679,0.0610687023,0.0833333333,0,131
Araçatuba,0.584,0.0461538462,0.0348837209,0.0454545455,130
Alvorada,0.676,0.1307692308,0.1460674157,0.0731707317,130
Palhoça,0.685,0.0775193798,0.0786516854,0.075,129
Ananindeua,0.73,0.0852713178,0.0602409639,0.1086956522,129
Atibaia,0.627,0.09375,0.0957446809,0.0588235294,128
Uruguaiana,0.651,0.1382113821,0.1011235955,0.2058823529,123
Nova Lima,0.637,0.0877192982,0.1111111111,0.0238095238,114
São João de Meriti,0.633,0.1578947368,0.1395348837,0.1785714286,114
Araraquara,0.598,0.0707964602,0.0675675676,0.0512820513,113
Jacareí,0.636,0.1339285714,0.1315789474,0.1111111111,112
Nilópolis,0.602,0.125,0.1451612903,0.08,112
Brusque,0.657,0.0917431193,0.0769230769,0.1290322581,109
Franca,0.637,0.1009174312,0.1025641026,0.064516129,109
Guarapuava,0.671,0.119266055,0.0786516854,0.25,109
Valinhos,0.604,0.0934579439,0.1025641026,0.0344827586,107
