MUNICIPIO,Y,X,W1,W2,N
Taquara,0.609,0.0810810811,0.0952380952,0,37
Porto Seguro,0.764,0.0833333333,0.0526315789,0.0588235294,36
Santa Maria da Boa Vista,0.754,0.0833333333,0.0588235294,0,36
Itararé,0.652,0.1111111111,0.0476190476,0.1333333333,36
Barcelona,0.634,0.0277777778,0,0,36
Vassouras,0.613,0.1944444444,0.24,0.0909090909,36
Rio Bonito,0.632,0.0277777778,0,0,36
Ilhabela,0.697,0.0857142857,0.08,0.1,35
Itapeva,0.67,0.0571428571,0.0416666667,0,35
Cachoeira do Sul,0.553,0.0857142857,0.1,0,35
Pirassununga,0.599,0.1428571429,0.1428571429,0.0714285714,35
Montenegro,0.62,0.1142857143,0.1111111111,0.125,35
Itapecerica da Serra,0.709,0.0857142857,0.0454545455,0.0769230769,35
Votorantim,0.668,0.1142857143,0.1578947368,0,35
Crato,0.692,0.0857142857,0.0833333333,0,35
Cruz Alta,0.6,0.0571428571,0.0344827586,0,35
Itaúna,0.621,0.0588235294,0.037037037,0,34
Passos,0.621,0.0294117647,0,0,34
União da Vitória,0.651,0.0882352941,0.125,0,34
Tucuruí,0.783,0.1470588235,0.1481481481,0,34
Mariana,0.683,0.0882352941,0.1052631579,0,34
Nova Odessa,0.632,0.1470588235,0.16,0,34
São Francisco do Sul,0.632,0.0909090909,0.0434782609,0.1,33
Caçador,0.673,0.0909090909,0.0909090909,0,33
Paracambi,0.603,0.0303030303,0,0,33
Patrocínio Paulista,0.642,0.1515151515,0.05,0.2307692308,33
Sobradinho,0.709,0.0909090909,0.0869565217,0,33
Ponte Nova,0.611,0.15625,0.15,0.0833333333,32
Anchieta,0.661,0.15625,0.125,0.25,32
São Sebastião,0.693,0.25,0.2352941176,0.2666666667,32
Corumbá,0.699,0.03125,0,0,32
Caxias,0.714,0.09375,0.0476190476,0.0909090909,32
Biguaçu,0.673,0.125,0.0384615385,0.3333333333,32
Barreiras,0.748,0.125,0.0952380952,0.1818181818,32
Votuporanga,0.582,0.1290322581,0.0869565217,0.125,31
Garopaba,0.627,0.2580645161,0.1363636364,0.4444444444,31
Eldorado do Sul,0.662,0.1290322581,0.08,0.1666666667,31
Matinhos,0.621,0.1290322581,0.0526315789,0.1666666667,31
São Bento do Sul,0.674,0.0967741935,0.1052631579,0,31
Cianorte,0.633,0.0967741935,0.0909090909,0.1111111111,31
Registro,0.65,0.0322580645,0,0,31
Santa Isabel,0.65,0.1935483871,0.0952380952,0.3,31
Santa Teresa,0.602,0.0967741935,0.0434782609,0.125,31
Coimbra,0.596,0.0666666667,0.0384615385,0,30
Sombrio,0.659,0.1666666667,0.0526315789,0.2727272727,30
Gaspar,0.66,0.1,0.15,0,30
Teixeira de Freitas,0.708,0.1379310345,0.1666666667,0,29
Joaçaba,0.612,0.1379310345,0.1363636364,0,29
Catanduva,0.584,0.0344827586,0,0,29
Iguaba Grande,0.577,0.1428571429,0.125,0,28
Sarandi,0.669,0.1428571429,0.0476190476,0.2857142857,28
Jaguarão,0.566,0.1785714286,0.0909090909,0.3333333333,28
Franco da Rocha,0.705,0.0357142857,0.05,0,28
São Sebastião do Paraíso,0.622,0.1428571429,0.1176470588,0.0909090909,28
Jandira,0.71,0.2142857143,0.1875,0.1666666667,28
Venâncio Aires,0.581,0.0714285714,0.04,0,28
Panamá,0.579,0.0357142857,0.0454545455,0,28
Serra Negra,0.567,0.1785714286,0.0588235294,0.2727272727,28
Patrocínio,0.653,0.0740740741,0.125,0,27
Cajamar,0.715,0.1111111111,0,0.25,27
Urussanga,0.581,0.2222222222,0.125,0.2727272727,27
Jequié,0.675,0.0740740741,0,0.0666666667,27
Grajaú,0.777,0.1481481481,0.0666666667,0.1666666667,27
Marataízes,0.65,0.2592592593,0.2380952381,0.1666666667,27
Barra do Garças,0.673,0.0740740741,0,0.1111111111,27
Valparaíso,0.667,0.1481481481,0.0434782609,0.5,27
Cosmópolis,0.671,0.3703703704,0.4210526316,0.125,27
Seropédica,0.658,0.3333333333,0.3,0.2857142857,27
Canela,0.652,0.1851851852,0.1739130435,0,27
Jaboticabal,0.61,0.0740740741,0,0.0833333333,27
Boituva,0.671,0.1153846154,0.0625,0.1,26
Garibaldi,0.582,0.2692307692,0.3,0.1666666667,26
Faro,0.781,0.1538461538,0.0588235294,0.2222222222,26
Amparo,0.597,0.1538461538,0.1,0.1666666667,26
Catalão,0.663,0.0384615385,0,0,26
São Gabriel,0.587,0.1538461538,0.1111111111,0.125,26
Formiga,0.59,0.0769230769,0.0416666667,0,26
Picos,0.685,0.1153846154,0.125,0,26
Maracanã,0.731,0.1538461538,0.1304347826,0.3333333333,26
Juazeiro,0.729,0.0769230769,0.0555555556,0.125,26
Lagarto,0.692,0.1153846154,0.0909090909,0.0666666667,26
Cataguases,0.584,0.08,0.1111111111,0,25
